session_id,user_id,timestamp,attack_type,label,geo_velocity_kmh,device_mismatch_score,token_reuse_flag,login_burst_count,time_since_last_login_minutes
78f64547-7938-4442-b2bd-0e9e8f8ede3a,user_1901,2026-09-12T04:36:14.656674+00:00,token_replay,1,655.35,0.038,True,2,4.61
eeaec3ae-414e-4bd9-b3a0-790f996259f3,user_1771,2026-09-07T16:15:19.640116+00:00,none,0,858.63,0.03,False,1,380.33
e4562dda-3cba-4624-8a65-1ecb314ed91c,user_1514,2026-09-19T17:34:52.651001+00:00,none,0,108.25,0.094,False,1,1386.01
5a67635e-292a-4bc6-859a-24f59b830d3a,user_1134,2026-09-10T14:26:12.646404+00:00,none,0,587.23,0.058,False,1,1242.81
e0f2123a-b19e-419b-929b-a3636cf3d33f,user_1873,2026-08-26T14:51:23.650533+00:00,none,0,543.86,0.01,False,1,1334.72
233a740d-ba4a-49ab-a9bd-28594c07e307,user_1156,2026-08-30T00:33:14.650361+00:00,none,0,867.48,0.047,False,2,844.8
3ad29be0-f079-4cda-8ecf-612eb91bbacf,user_1368,2026-09-18T21:34:10.646758+00:00,none,0,83.81,0.03,False,2,1292.96
3f56a184-5e76-43f4-b0f5-853e7baeb7db,user_1872,2026-08-31T05:14:39.655331+00:00,device_takeover,1,190.68,0.933,False,2,0.57
0a741522-5472-43b9-8b98-89480c58120b,user_1285,2026-09-03T14:12:41.636660+00:00,none,0,577.33,0.04,False,2,1352.81
fac6d877-ff63-49d6-821a-4d5f4f4e96b2,user_1497,2026-09-19T06:43:47.650897+00:00,none,0,712.08,0.014,False,2,74.81
60ecff2a-b7b7-4d91-9a45-5fef715030d8,user_1437,2026-08-24T09:49:21.636560+00:00,none,0,8.7,0.008,False,1,787.92
c4cf0be1-c6c7-471f-85a8-9c2ee7eb3355,user_1120,2026-09-10T16:02:02.650566+00:00,none,0,819.89,0.016,False,2,1021.21
68daaa6b-e066-4826-a592-87fd6950c719,user_1424,2026-09-13T20:43:05.648682+00:00,none,0,751.96,0.06,False,1,303.17
fd4abd17-9acc-4ce3-81a8-38d1ea9eba3a,user_1775,2026-08-29T20:09:25.642951+00:00,none,0,155.59,0.098,False,1,1165.14
d99c0196-9c6f-40fc-abbe-888020d34f49,user_1068,2026-09-15T17:46:23.640344+00:00,none,0,534.55,0.045,False,1,356.19
48261e0e-35ee-462f-81ef-47d12533c982,user_1339,2026-09-07T09:00:21.639249+00:00,none,0,112.03,0.037,False,2,1071.65
d00eb423-96a3-420a-8f11-11ffb204ee24,user_1044,2026-09-14T10:19:45.644707+00:00,none,0,516.14,0.016,False,1,1283.29
13b02794-7540-4693-b9ca-345072582b73,user_1635,2026-09-17T17:09:10.637358+00:00,none,0,548.67,0.074,False,1,902.61
9d798209-141b-4dfa-804a-f307a34dec89,user_1930,2026-09-01T02:22:29.654431+00:00,impossible_travel,1,1902.1,0.053,False,1,3.02
